content,sentiment
positif tp banyak dark system,positif
gooddd,positif
positif,positif
positif bener inih gem,positif
game positif positif,positif
positif sii tolong kurang dark sistem montoon,positif
ketemu tim feed bodoh,positif
positif game mobile legends,positif
game positif,positif
positif,positif
game positif,positif
positif,positif
star,positif
positif game orgnya ramah,positif
game rusak bug dasar game gjls bjngn,negatif
game nya positif,positif
game buruk,negatif
muantappp,positif
game bocil tolol,positif
manatap,positif
game sempurna,positif
gacor,positif
sekian maen ml gue jarang menang musuh jago udah main party aja susah plis montoon kasih musuh tara,negatif
game nya cocok santai playernya ramah game positif,positif
mending hok team nya adil ga yg beban udh kalah kacau sih ml,negatif
game nya positif bgt,positif
positif,positif
,positif
game yatim piatu banyakin aja event nya anj gak baik sistem bodoh,negatif
positif,positif
positif,positif
positif,positif
gem positif,positif
positif dark sistem,positif
grafik nambah positif,positif
game haram,positif
game tolol,negatif
ml positif positif,positif
ntaps,positif
gg boskuuu,positif
positif,positif
game dark sistem,positif
game eppekekekkdjxkshkxbs,negatif
positif banyakin lgi skin gratis,positif
moontod gblk gua pake smartfren nge positif udah bangkrut aja lu udah bocah mending pinda pubgmobile ff sibuk ngurusin hero,negatif
game positif,positif
game nya positif positif main positif positif gk bosen,positif
positif,positif
game nya positif positif terima kasih,positif
positif apk nya,positif
positif,positif
positif,positif
positif,positif
not bad,positif
senang main geme bayak drasistem,positif
lindung akun aktif gk apain ml kesini males main,negatif
positif,positif
topmarkotoptemenin gabut offline iseng no data,positif
positif,positif
server ter positif game sumpah main season sampe bikin emosi ama matching nya buruk event buruk server,negatif
kasih tim dark system tim musuh pro yg mampu dapet tim yg ngetroll musuh mythical glory pindah hok aja ya mlbb eventnya selesai misi contoh selesai pertadingan pertadingan dll skin limitedsquad random pilih yg mainkangunakan dear moonton mohon tim sesuai,negatif
positif positif moonton,positif
positif,positif
,positif
positif sih,positif
game jelek lostrek kali capekkk,negatif
game kasih tim gk ngotak musuh jago tim kayak computers dah,negatif
game positif orang ngetroll,negatif
game tarik positif,positif
game pepe,negatif
gak dapet tim positif,positif
pelit event nya gacha ampas,positif
positif,positif
gamenya positif bangett main kalah playernya ga toxic main udah kelas pro player lupa teman teman download game positif makasiih,positif
positif,positif
positif,positif
,positif
tolong benar matchmaking tim adil,positif
olla,positif
positif kali game mole mah gk kasih drak sistem kalo main wkwkwk,positif
diamond,positif
wow,positif
positif game,positif
game ramah lingkung cocok mabar keluarga playernya stres gpp eek,positif
positif,positif
game nya positif,positif
game ramah,positif
ngasih musuh yng ngotak sikit sat,negatif
puas drak sistem nya negatif,positif
positif to games,positif
monton benci ya kalah benci gm loh ton epic kek gimana,positif
positif,positif
game positif,positif
kasih lawan yg gak seimbg,negatif
positif,positif
positif,positif
positif,positif
saran diupdate moonton imbang matchmakingnya,positif
realme gt neo grafis ultra,positif
mantal,positif
game nya positif btw jungle positif,positif
positif positif kasih ls monton,positif
positif bikin stres,positif
game dark sistem,positif
game yg bagusmampu negatif,positif
sumpah game gak positif banget mending main hok aja game dark sistem ngetrollsistem matchmaking gak adil bug cheat udahlah henti aja main game moba bikin stress,negatif
i like this game,positif
positif lhhh,positif
game hibur,positif
positif hibur,positif
positif,positif
positif,positif
positif,positif
positif,positif
monton bacot gk mata udah kali gwa main dapet nya musuh gloryy imortal tim gwa honor nya lejen musuh gloryy importal nya gak adil gk imbang tanding nya gl terima gwa game mending honor of khing tanding nya imbang banget sesuai mampu rank nya milihnya ml gwa saranin pindah aja,negatif
positif,positif
player toxic,positif
gaenaknya ketemu dark sistem,positif
game jelekkk internet ku positif tp main ttp ngelegg kalo dpt tim huni asli tp musuh tan imoo,negatif
gamenya,positif
luarbiasa,positif
montod,negatif
game jelek kasih kalah mulu tim beban kesal game kasi kalah kali buang buang main kalah game jelek,negatif
kanapa masukdi game nya ngelak buka mulu yg tulis mobile legendya aneh,negatif
positif,positif
game nya positif,positif
rame,positif
star proteksi pas kalah tetep turun knp gitu min,negatif
positif,positif
ow,positif
monton yatim gw cape lol lostraik kali lu kalo kasih musuh susah ap monton gw sumpahin gedung lu bakar ran amin awas aj lu kasih draksistem,negatif
turut game muas,positif
,positif
defeat trus,negatif
banyakin event skin hero,positif
positif,positif
mantal moonton,positif
positif ramah,positif
toll ngasih tim sampah truss,negatif
positif,positif
,positif
coba,positif
geme ny positif,positif
positif,positif
dark sistem,negatif
game positif,positif
bintang dark sistem bintang capai rank legend turun epic pucklah,negatif
positif,positif
positif,positif
rangin dark sistem moonton,positif
positif loh,positif
positif,positif
positif,positif
mobile legend game positif negatif ken diamon plis montoon,positif
kasi tim yg bener ya montoon,positif
