content,sentiment
"bagus, tp kebanyak dark system",positif
Gooddd,positif
baguss,positif
Mantap bener inih gem,positif
Game keren anjay,positif
"seruu sii, tapi tolong kurangi dark sistem montoon",positif
ketemu tim yang feed dan bodoh,positif
good game mobile legends,positif
game sangat bagus,positif
nyaman,positif
game terbaik sepanjang masa,positif
sangat seru,positif
5 STAR,positif
"mantap game ini orgnya ramah""",positif
"Game rusak ,banyak bug, dasar game gjls bjngn",negatif
Game nya sangat Bagus,positif
Game terburuk dari dulu,negatif
Muantappp,positif
Game bocil tolol,positif
Manatap,positif
game sempurna,positif
Gacor,positif
"Dari sekian lamanya saya maen ml gue paling jarang menang karena musuh terlalu jago, meskipun udah main party tetap aja susah, plis lah montoon kasih musuh yang setara dong.",negatif
"Game nya cocok buat santai playernya juga ramah"" 💯 game terbaik",positif
mending di hok team nya adil ga disini ada yg beban udh kalah 15× kacau sih ml sekarang,negatif
Game nya seru bgt,positif
Bagus,positif
sangat luar biasa,positif
Game yatim piatu banyakin aja event nya anj gak usah perbaiki sistem bodoh,negatif
Sangat keren,positif
Bagus,positif
oke,positif
Gem sangat baguss,positif
Mantap banyak dark sistem,positif
Grafiknya nambah keren,positif
game haram,positif
Game tolol,negatif
Ml sangat bagus dan seru,positif
Ntaps,positif
GG boskuuu,positif
Keren,positif
Game dark sistem,positif
Game eppekekekkdjxkshkxbs,negatif
Mantap banyakin lgi skin gratis,positif
Moontod Gblk Gua Pake Smartfren Masih Nge Lag Udah Bangkrut Aja Lu Udah Banyak Bocah Ini Lah Mending Pinda PUBGMobile Atau FF Sibuk Ngurusin Hero Terus,negatif
Game anjay,positif
Game nya bagus dan seru aku main dari aku kelas satu sampai aku kelas 5 dan GK bosen2,positif
Good,positif
"Game nya bagus dan keren, Terima kasih",positif
Mantul apk nya,positif
behh,positif
Good,positif
mantap,positif
Not bad,positif
Kami sangat senang bisa main geme yang bayak drasistem,positif
"Perlindungan akun aktif sendiri padahal GK di apa""in ,ml makin kesini makin males main",negatif
bagus,positif
Top.markotop....temenin gabut bisa offline juga kalau buat iseng no data,positif
bagus,positif
"Server ter anjay dari semuanya game, sumpah main dari season 7 sampe sekarang di bikin emosi ama matching nya, buruk di event buruk di server juga",negatif
"Selalu dikasih tim dark system, Dan Tim musuh yang pro atau yg Di atas kemampuan Kita. Misalnya dapet Tim yg ngetroll Dan musuh mythical glory. lebih baik pindah ke HOK aja. Ya walaupun mlbb Ini banyak eventnya tapi kenapa harus menyelesaikan banyak misi contohnya, harus menyelesaikan 20 pertadingan, 30 pertadingan, Dll untuk mendapatkan 1 skin limited/squad Dan itu semua random tidak bisa dipilih Dan itu semua yg Kita tidak bisa mainkan/gunakan. (Dear moonton mohon berikan Tim yang sesuai).",negatif
Bagus lumayan juga moonton sekarang,positif
Sangat bagus,positif
sangat baik,positif
Ok sih,positif
game jelek lostrek 10 kali capekkk,negatif
Game apaan kasih tim gk ngotak musuh jago tim kayak computers dah lah,negatif
Game sangat bagus tetapi banyak orang ngetroll,negatif
Game yang menarik dan seru,positif
game pepe,negatif
Gak pernah dapet tim bagus,positif
Pelit.. Event nya gacha ampas,positif
keren,positif
"Gamenya bagus bangett, tiap main pasti kalah playernya baik baik ga toxic, aku main 2 hari udah sekelas pro player, jangan lupa buat teman teman di download game terbaik ini makasiih",positif
Nice,positif
keruen,positif
Baik,positif
Tolong benarkan matchmaking tim tidak adil,positif
Olla,positif
Mantap kali game mole mah yang penting GK dikasih drak sistem kalo main wkwkwk,positif
Minta Diamond 50.000,positif
Wow,positif
Good game,positif
